pressure[Pa]  solidus[K]  liquidus[K]
0.00E+00 1420 2020
2.21E+08 1443.0271 2043.0271
4.41E+08 1466.0543 2066.0543
6.62E+08 1489.0814 2089.0814
8.82E+08 1512.1085 2112.1085
1.10E+09 1535.1356 2135.1356
1.32E+09 1558.1628 2158.1628
1.54E+09 1581.1899 2181.1899
1.76E+09 1604.217 2204.217
1.98E+09 1627.2441 2227.2441
2.21E+09 1650.2713 2250.2713
2.43E+09 1673.2984 2273.2984
2.65E+09 1696.3255 2296.3255
2.87E+09 1719.3526 2319.3526
3.09E+09 1742.3798 2342.3798
3.31E+09 1765.4069 2365.4069
3.53E+09 1788.434 2388.434
3.75E+09 1811.4612 2411.4612
3.97E+09 1834.4883 2434.4883
4.19E+09 1857.5154 2457.5154
4.41E+09 1880.5425 2480.5425
4.63E+09 1903.5697 2503.5697
4.85E+09 1926.5968 2526.5968
5.07E+09 1949.6239 2549.6239
5.29E+09 1965.4121 2565.4121
5.51E+09 1971.2626 2571.2626
5.73E+09 1977.1131 2577.1131
5.95E+09 1982.9636 2582.9636
6.17E+09 1988.8141 2588.8141
6.40E+09 1994.6646 2594.6646
6.62E+09 2000.5151 2600.5151
6.84E+09 2006.3656 2606.3656
7.06E+09 2012.2161 2612.2161
7.28E+09 2018.0666 2618.0666
7.50E+09 2023.9171 2623.9171
7.72E+09 2029.7677 2629.7677
7.94E+09 2035.6182 2635.6182
8.16E+09 2041.4687 2641.4687
8.38E+09 2047.3192 2647.3192
8.60E+09 2053.1697 2653.1697
8.82E+09 2059.0202 2659.0202
9.04E+09 2064.8707 2664.8707
9.26E+09 2070.7212 2670.7212
9.48E+09 2076.5717 2676.5717
9.70E+09 2082.4222 2682.4222
9.92E+09 2088.2727 2688.2727
1.01E+10 2094.1232 2694.1232
1.04E+10 2099.9737 2699.9737
1.06E+10 2105.8242 2705.8242
1.08E+10 2111.6747 2711.6747
1.10E+10 2117.5252 2717.5252
1.12E+10 2123.3757 2723.3757
1.15E+10 2129.2262 2729.2262
1.17E+10 2135.0767 2735.0767
1.19E+10 2140.9272 2740.9272
1.21E+10 2146.7777 2746.7777
1.23E+10 2152.6282 2752.6282
1.26E+10 2158.4787 2758.4787
1.28E+10 2164.3293 2764.3293
1.30E+10 2170.1798 2770.1798
1.32E+10 2176.0303 2776.0303
1.35E+10 2181.8808 2781.8808
1.37E+10 2187.7313 2787.7313
1.39E+10 2193.5818 2793.5818
1.41E+10 2199.4323 2799.4323
1.43E+10 2205.2828 2805.2828
1.46E+10 2211.1333 2811.1333
1.48E+10 2216.9838 2816.9838
1.50E+10 2222.8343 2822.8343
1.52E+10 2228.6848 2828.6848
1.54E+10 2234.5353 2834.5353
1.57E+10 2240.3858 2840.3858
1.59E+10 2246.2363 2846.2363
1.61E+10 2252.0868 2852.0868
1.63E+10 2257.9373 2857.9373
1.65E+10 2263.7878 2863.7878
1.68E+10 2269.6383 2869.6383
1.70E+10 2275.4888 2875.4888
1.72E+10 2281.3393 2881.3393
1.74E+10 2287.1898 2887.1898
1.76E+10 2293.0403 2893.0403
1.79E+10 2298.8909 2898.8909
1.81E+10 2304.7414 2904.7414
1.83E+10 2310.5919 2910.5919
